_id,cultivo,anio,campania,provincia,provincia_id,departamento,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
1,poroto,1969,1969/1970,Buenos Aires,6,Chacabuco,6210,10,10,12,1200
2,poroto,1969,1969/1970,Buenos Aires,6,Chivilcoy,6224,4,4,4,1000
3,poroto,1969,1969/1970,Buenos Aires,6,General Arenales,6294,1,1,1,1000
4,poroto,1969,1969/1970,Buenos Aires,6,Junín,6413,1,1,1,1000
5,poroto,1969,1969/1970,Buenos Aires,6,Mercedes,6532,64,64,81,1266
6,poroto,1969,1969/1970,Buenos Aires,6,Patagones,6602,10,10,27,2700
7,poroto,1969,1969/1970,Buenos Aires,6,Villarino,6875,20,20,54,2700
8,poroto,1969,1969/1970,Catamarca,10,Ambato,10007,12,12,12,1000
9,poroto,1969,1969/1970,Catamarca,10,Andalgalá,10021,62,60,54,900
10,poroto,1969,1969/1970,Catamarca,10,Belén,10035,67,60,54,900
11,poroto,1969,1969/1970,Catamarca,10,Capayán,10042,5,5,5,1000
12,poroto,1969,1969/1970,Catamarca,10,El Alto,10056,13,13,13,1000
13,poroto,1969,1969/1970,Catamarca,10,Fray Mamerto Esquiú,10063,6,6,6,1000
14,poroto,1969,1969/1970,Catamarca,10,Paclín,10077,18,18,17,944
15,poroto,1969,1969/1970,Catamarca,10,Pomán,10084,9,9,9,1000
16,poroto,1969,1969/1970,Catamarca,10,Santa María,10091,4,4,4,1000
17,poroto,1969,1969/1970,Catamarca,10,Santa Rosa,10098,6,6,6,1000
18,poroto,1969,1969/1970,Catamarca,10,Tinogasta,10105,7,7,7,1000
19,poroto,1969,1969/1970,Chubut,26,Escalante,26021,18,18,11,611
20,poroto,1969,1969/1970,Chubut,26,Gaiman,26042,50,50,34,680
21,poroto,1969,1969/1970,Chubut,26,Rawson,26077,15,15,9,600
22,poroto,1969,1969/1970,Chubut,26,Río Senguer,26084,6,6,3,500
23,poroto,1969,1969/1970,Chubut,26,Sarmiento,26091,26,22,13,591
24,poroto,1969,1969/1970,Córdoba,14,Calamuchita,14007,170,137,27,197
25,poroto,1969,1969/1970,Córdoba,14,Capital,14014,25,13,3,231
26,poroto,1969,1969/1970,Córdoba,14,Cruz del Eje,14028,150,80,16,200
27,poroto,1969,1969/1970,Córdoba,14,Río Primero,14105,255,130,26,200
28,poroto,1969,1969/1970,Córdoba,14,Santa María,14147,9000,4500,928,206
29,poroto,1969,1969/1970,Formosa,34,Formosa,34014,10,5,5,1000
30,poroto,1969,1969/1970,Formosa,34,Laishí,34021,20,15,15,1000
31,poroto,1969,1969/1970,Formosa,34,Patiño,34035,5,0,0,0
32,poroto,1969,1969/1970,Formosa,34,Pilagás,34042,10,5,5,1000
33,poroto,1969,1969/1970,Formosa,34,Pilcomayo,34049,25,15,18,1200
34,poroto,1969,1969/1970,Formosa,34,Pirané,34056,35,25,25,1000
